         1462369 function calls (1438706 primitive calls) in 1.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.000    0.000 getlimits.py:494(__new__)
       20    0.000    0.000    0.000    0.000 __init__.py:226(_from_iter)
        1    0.000    0.000    0.000    0.000 pathlib.py:193(__init__)
        1    0.000    0.000    0.000    0.000 integer.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      287    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       15    0.000    0.000    0.000    0.000 base.py:549(find)
        9    0.000    0.000    0.000    0.000 core.py:1737(__call__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1008(TimerBase)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       23    0.000    0.000    0.000    0.000 colors.py:1234(reversed)
        1    0.000    0.000    0.000    0.000 timedeltas.py:103(TimedeltaArray)
      106    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
       16    0.000    0.000    0.000    0.000 locale.py:381(normalize)
      229    0.000    0.000    0.000    0.000 transforms.py:1329(<genexpr>)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unicode.py:85(identchars)
        3    0.000    0.000    0.000    0.000 win.py:94(name_from_string)
        7    0.000    0.000    0.000    0.000 core.py:6040(__add__)
       27    0.000    0.000    0.000    0.000 docscrape.py:92(read_to_condition)
      310    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
       69    0.000    0.000    0.000    0.000 <frozen ntpath>:350(expanduser)
      831    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       95    0.000    0.000    0.000    0.000 accessor.py:94(_create_delegator_property)
        1    0.000    0.000    0.000    0.000 abc.py:62(Traversable)
        1    0.000    0.000    0.000    0.000 pathlib.py:106(_compile_pattern)
      287    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
       12    0.000    0.000    0.000    0.000 _strptime.py:323(__seqToRE)
      145    0.000    0.000    0.000    0.000 __init__.py:255(escape)
       21    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
     1924    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
        1    0.000    0.000    0.000    0.000 unicode.py:123(pyparsing_unicode)
        1    0.000    0.000    0.000    0.000 legend_handler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:1(<module>)
       61    0.000    0.000    0.000    0.000 pathlib.py:358(__init__)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        3    0.000    0.000    0.000    0.000 win.py:71(load_name)
      119    0.000    0.000    0.000    0.000 {built-in method nt.getcwd}
        1    0.000    0.000    0.000    0.000 base.py:110(ExtensionArray)
        1    0.000    0.000    0.000    0.000 lazy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:202(Dvi)
        2    0.000    0.000    0.000    0.000 deprecation.py:314(delete_parameter)
       49    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 collections.py:28(Collection)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dtypes.py:945(PeriodDtype)
        1    0.000    0.000    0.000    0.000 _docstrings.py:6(DocstringComponents)
      704    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:3167(ArrowStyle)
        1    0.000    0.000    0.000    0.000 datetimelike.py:430(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
       64    0.000    0.000    0.000    0.000 _decorators.py:443(__call__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.000    0.000 testing.py:17(pyparsing_test)
        3    0.000    0.000    0.000    0.000 pathlib.py:1197(home)
        4    0.000    0.000    0.000    0.000 colors.py:2612(_make_norm_from_scale)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        3    0.000    0.000    0.000    0.000 getlimits.py:550(_init)
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
       34    0.000    0.000    0.000    0.000 generic.py:13630(make_doc)
       17    0.000    0.000    0.000    0.000 docscrape.py:572(dedent_lines)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
        1    0.000    0.000    0.000    0.000 representer.py:1(<module>)
      293    0.000    0.000    0.000    0.000 types.py:192(__init__)
       13    0.000    0.000    0.000    0.000 core.py:8761(__init__)
       76    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
      195    0.000    0.000    0.000    0.000 _shape_base_impl.py:624(_column_stack_dispatcher)
       60    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        1    0.000    0.000    0.000    0.000 _odfreader.py:1(<module>)
      356    0.000    0.000    0.000    0.000 inspect.py:306(ismethod)
        1    0.000    0.000    0.000    0.000 extension.py:1(<module>)
       61    0.000    0.000    0.000    0.000 typing.py:1088(<genexpr>)
       11    0.000    0.000    0.000    0.000 enum.py:1550(__or__)
     1890    0.000    0.000    0.000    0.000 __init__.py:884(<lambda>)
      183    0.000    0.000    0.000    0.000 textwrap.py:482(prefixed_lines)
        2    0.000    0.000    0.000    0.000 pathlib.py:164(select_from)
       75    0.000    0.000    0.000    0.000 colors.py:404(<genexpr>)
      509    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      532    0.000    0.000    0.000    0.000 typing.py:2568(final)
        1    0.000    0.000    0.000    0.000 stata.py:827(StataMissingValue)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_tools.py:29(Cursors)
       51    0.000    0.000    0.000    0.000 {built-in method nt._path_normpath}
      137    0.000    0.000    0.000    0.000 colors.py:1012(__init__)
        2    0.000    0.000    0.000    0.000 _strptime.py:101(__calc_month)
       42    0.000    0.000    0.000    0.000 getlimits.py:93(_float_to_float)
        4    0.000    0.000    0.000    0.000 sysconfig.py:636(get_path)
        3    0.000    0.000    0.000    0.000 dataclasses.py:882(_hash_add)
      167    0.000    0.000    0.000    0.000 rcsetup.py:151(validate_bool)
      410    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       22    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
        1    0.000    0.000    0.000    0.000 pytables.py:4881(AppendableMultiFrameTable)
       34    0.000    0.000    0.000    0.000 typing.py:1481(<genexpr>)
       11    0.000    0.000    0.000    0.000 shutil.py:1422(get_terminal_size)
        6    0.000    0.000    0.000    0.000 _strptime.py:226(__find_weekday_format)
       65    0.000    0.000    0.000    0.000 results.py:454(__iadd__)
       36    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      270    0.000    0.000    0.000    0.000 _decorators.py:343(doc)
        4    0.000    0.000    0.000    0.000 sysconfig.py:624(get_paths)
        6    0.000    0.000    0.000    0.000 husl.py:31(husl_to_rgb)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dviread.py:184(decorate)
       13    0.000    0.000    0.000    0.000 core.py:8766(getdoc)
        4    0.000    0.000    0.000    0.000 pydoc.py:171(_getdoc)
        8    0.000    0.000    0.000    0.000 docscrape.py:230(_read_sections)
      239    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      322    0.000    0.000    0.000    0.000 rcsetup.py:893(_convert_validator_spec)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
       69    0.000    0.000    0.000    0.000 inspect.py:2150(_signature_is_builtin)
      488    0.000    0.000    0.000    0.000 colors.py:358(<genexpr>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:675(_hash_fn)
       29    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
       40    0.000    0.000    0.000    0.000 typing.py:1584(<genexpr>)
        1    0.000    0.000    0.000    0.000 bezier.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6752(__new__)
        4    0.000    0.000    0.000    0.000 sysconfig.py:271(_expand_vars)
      438    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        3    0.000    0.000    0.000    0.000 pathlib.py:1398(expanduser)
        1    0.000    0.000    0.000    0.000 axisgrid.py:368(FacetGrid)
      820    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       44    0.000    0.000    0.000    0.000 results.py:573(copy)
        1    0.000    0.000    0.000    0.000 _parser.py:58(_timelex)
       73    0.000    0.000    0.000    0.000 numerictypes.py:475(issubdtype)
      490    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       16    0.000    0.000    0.000    0.000 take.py:352(_view_wrapper)
        1    0.000    0.000    0.000    0.000 cbook.py:58(_get_running_interactive_framework)
     1389    0.000    0.000    0.000    0.000 inspect.py:3089(parameters)
        1    0.000    0.000    0.000    0.000 sasreader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lines.py:230(Line2D)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
       14    0.000    0.000    0.000    0.000 deprecation.py:185(finalize)
        2    0.000    0.000    0.000    0.000 _strptime.py:93(__calc_weekday)
        1    0.000    0.000    0.000    0.000 categorical.py:246(Categorical)
      265    0.000    0.000    0.000    0.000 overrides.py:107(array_function_dispatch)
       36    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
        1    0.000    0.000    0.000    0.000 ExifTags.py:361(LightSource)
       98    0.000    0.000    0.000    0.000 _strptime.py:338(<genexpr>)
        1    0.000    0.000    0.000    0.000 config_manager.py:14(ConfigManager)
       12    0.000    0.000    0.000    0.000 colors.py:527(to_rgb)
        1    0.000    0.000    0.000    0.000 period.py:121(PeriodArray)
        1    0.000    0.000    0.000    0.000 tokenize.py:453(open)
       41    0.000    0.000    0.000    0.000 numeric.py:171(ones)
       12    0.000    0.000    0.000    0.000 _compat.py:67(register_colormap)
      147    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
       83    0.000    0.000    0.000    0.000 <frozen os>:783(encodekey)
        1    0.000    0.000    0.000    0.000 hatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method nt._path_isdir}
        7    0.000    0.000    0.000    0.000 __init__.py:339(__init__)
      936    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      159    0.000    0.000    0.000    0.000 inspect.py:1832(_shadowed_dict)
        6    0.000    0.000    0.000    0.000 _strptime.py:192(__find_month_format)
        1    0.000    0.000    0.000    0.000 core.py:230(reload_library)
        2    0.000    0.000    0.000    0.000 hashlib.py:82(__get_builtin_constructor)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 xkcd_rgb.py:1(<module>)
       30    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
       26    0.000    0.000    0.000    0.000 core.py:972(__init__)
       44    0.000    0.000    0.000    0.000 enum.py:956(_check_for_existing_members_)
        3    0.000    0.000    0.000    0.000 functools.py:803(singledispatch)
       17    0.000    0.000    0.000    0.000 docscrape.py:110(read_to_next_unindented_line)
       52    0.000    0.000    0.000    0.000 calendar.py:104(__getitem__)
        1    0.000    0.000    0.000    0.000 gridspec.py:1(<module>)
        1    0.000    0.000    0.000    0.000 python_parser.py:1(<module>)
        1    0.000    0.000    0.000    0.000 managers.py:108(BaseBlockManager)
        1    0.000    0.000    0.000    0.000 category.py:51(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 _enums.py:17(JoinStyle)
      363    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        3    0.000    0.000    0.000    0.000 numba_.py:1(<module>)
        4    0.000    0.000    0.000    0.000 docscrape.py:219(_read_to_next_section)
      179    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
      226    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
        6    0.000    0.000    0.000    0.000 functools.py:855(register)
        1    0.000    0.000    0.000    0.000 patches.py:1313(Arrow)
        1    0.000    0.000    0.000    0.000 _adapters.py:40(CompatibilityFiles)
        1    0.000    0.000    0.000    0.000 core.py:190(update_user_library)
       69    0.000    0.000    0.000    0.000 typing.py:1569(<genexpr>)
      245    0.000    0.000    0.000    0.000 dataclasses.py:461(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:656(_getfinalpathname_nonstrict)
        1    0.000    0.000    0.000    0.000 axis.py:557(Axis)
      225    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
        1    0.000    0.000    0.000    0.000 nodes.py:1(<module>)
       85    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expr.py:325(f)
        2    0.000    0.000    0.000    0.000 textwrap.py:238(_wrap_chunks)
        1    0.000    0.000    0.000    0.000 unicode.py:99(identbodychars)
      228    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      809    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 doc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:30(ParseBaseException)
      143    0.000    0.000    0.000    0.000 _decorators.py:477(__init__)
       45    0.000    0.000    0.000    0.000 accessor.py:110(_create_delegator_method)
        1    0.000    0.000    0.000    0.000 __init__.py:5(_delvewheel_patch_1_10_1)
      132    0.000    0.000    0.000    0.000 _strptime.py:31(_findall)
       10    0.000    0.000    0.000    0.000 docscrape.py:102(read_to_next_empty_line)
      227    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1704(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      195    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
       12    0.000    0.000    0.000    0.000 datetimelike.py:166(_make_unpacked_invalid_op)
       18    0.000    0.000    0.000    0.000 core.py:1048(__init__)
        1    0.000    0.000    0.000    0.000 core.py:5241(__init__)
        1    0.000    0.000    0.000    0.000 _pyxlsb.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:4124(<genexpr>)
       44    0.000    0.000    0.000    0.000 core.py:3157(_generateDefaultName)
        1    0.000    0.000    0.000    0.000 feather_format.py:1(<module>)
        1    0.000    0.000    0.000    0.000 results.py:1(<module>)
       24    0.000    0.000    0.000    0.000 __init__.py:214(__getattr__)
      704    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:990(create_module)
       28    0.000    0.000    0.000    0.000 calendar.py:123(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:91(_delvewheel_patch_1_10_1)
        2    0.000    0.000    0.000    0.000 core.py:555(set_results_name)
       78    0.000    0.000    0.000    0.000 util.py:110(get)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      195    0.000    0.000    0.000    0.000 colors.py:692(__init__)
        1    0.000    0.000    0.000    0.000 streamplot.py:1(<module>)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
      106    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      265    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       64    0.000    0.000    0.000    0.000 dataclasses.py:404(field)
        1    0.000    0.000    0.000    0.000 heapq.py:1(<module>)
       69    0.000    0.000    0.000    0.000 inspect.py:2492(_descriptor_get)
      305    0.000    0.000    0.000    0.000 _docstrings.py:25(__getattr__)
       29    0.000    0.000    0.000    0.000 pathlib.py:618(stem)
        1    0.000    0.000    0.000    0.000 patches.py:2380(BoxStyle)
       16    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      556    0.000    0.000    0.000    0.000 _compiler.py:433(_get_iscased)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1215(AnnotationBbox)
        1    0.000    0.000    0.000    0.000 session_manager.py:34(SessionManager)
        5    0.000    0.000    0.000    0.000 cbook.py:800(__init__)
       59    0.000    0.000    0.000    0.000 core.py:1922(set_name)
       62    0.000    0.000    0.000    0.000 {built-in method time.strftime}
        2    0.000    0.000    0.000    0.000 lazy.py:84(__new__)
        1    0.000    0.000    0.000    0.000 frequencies.py:1(<module>)
       34    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
      704    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(get_filename)
        1    0.000    0.000    0.000    0.000 contexts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:2634(exit)
       12    0.000    0.000    0.000    0.000 rcsetup.py:361(_validate_cmap)
        4    0.000    0.000    0.000    0.000 ast.py:56(literal_eval)
        4    0.000    0.000    0.000    0.000 colors.py:2630(Norm)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1302(MouseButton)
        1    0.000    0.000    0.000    0.000 emitter.py:1(<module>)
       20    0.000    0.000    0.000    0.000 __init__.py:150(__init__)
        8    0.000    0.000    0.000    0.000 core.py:5098(__init__)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:578(_ReducedHCT_Element)
        1    0.000    0.000    0.000    0.000 groupby.py:764(BaseGroupBy)
       14    0.000    0.000    0.000    0.000 docscrape.py:192(_is_at_section)
        4    0.000    0.000    0.000    0.000 core.py:5901(__init__)
      191    0.000    0.000    0.000    0.000 doc.py:11(create_section_header)
        1    0.000    0.000    0.000    0.000 patches.py:3888(FancyBboxPatch)
        1    0.000    0.000    0.000    0.000 version.py:214(Version)
        1    0.000    0.000    0.000    0.000 music_controller.py:1(<module>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:594(_scalar_type_key)
       60    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.000    0.000 rcsetup.py:36(__getattr__)
        6    0.000    0.000    0.000    0.000 husl.py:63(lch_to_rgb)
        2    0.000    0.000    0.000    0.000 core.py:4021(_setResultsName)
       61    0.000    0.000    0.000    0.000 results.py:215(__getitem__)
      190    0.000    0.000    0.000    0.000 expr.py:184(<genexpr>)
      480    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 display.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:80(__compat__)
        1    0.000    0.000    0.000    0.000 scope.py:1(<module>)
      110    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
        1    0.000    0.000    0.000    0.000 calendar.py:60(Month)
        2    0.000    0.000    0.000    0.000 textwrap.py:341(_split_chunks)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
      158    0.000    0.000    0.000    0.000 core.py:794(preParse)
      840    0.000    0.000    0.000    0.000 enum.py:1184(__init__)
        1    0.000    0.000    0.000    0.000 tzinfo.py:1(<module>)
       16    0.000    0.000    0.000    0.000 copyreg.py:107(_slotnames)
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
      335    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
       12    0.000    0.000    0.000    0.000 cm.py:120(register)
       20    0.000    0.000    0.000    0.000 warnings.py:168(simplefilter)
        1    0.000    0.000    0.000    0.000 task_manager.py:55(TaskManager)
      248    0.000    0.000    0.000    0.000 patches.py:2353(<genexpr>)
       49    0.000    0.000    0.000    0.000 warnings.py:484(__enter__)
        1    0.000    0.000    0.000    0.000 core.py:2883(__new__)
        3    0.000    0.000    0.000    0.000 pathlib.py:731(parent)
      184    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
       78    0.000    0.000    0.000    0.000 util.py:113(set_)
       11    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
        1    0.000    0.000    0.000    0.000 cbook.py:597(_get_data_path)
        1    0.000    0.000    0.000    0.000 transforms.py:2171(BlendedGenericTransform)
      254    0.000    0.000    0.000    0.000 core.py:3902(<genexpr>)
        6    0.000    0.000    0.000    0.000 fromnumeric.py:2240(clip)
        1    0.000    0.000    0.000    0.000 dataframe_protocol.py:365(DataFrame)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
        4    0.000    0.000    0.000    0.000 inspect.py:3121(__hash__)
        1    0.000    0.000    0.000    0.000 core.py:3882(ParseExpression)
        1    0.000    0.000    0.000    0.000 gps.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:470(inner)
        1    0.000    0.000    0.000    0.000 patches.py:27(Patch)
       61    0.000    0.000    0.000    0.000 pathlib.py:1164(__new__)
       30    0.000    0.000    0.000    0.000 rcsetup.py:63(__init__)
       24    0.000    0.000    0.000    0.000 __init__.py:65(check_isinstance)
        1    0.000    0.000    0.000    0.000 patches.py:4517(ConnectionPatch)
        1    0.000    0.000    0.000    0.000 core.py:5544(Forward)
        9    0.000    0.000    0.000    0.000 <frozen ntpath>:275(dirname)
       21    0.000    0.000    0.000    0.000 overrides.py:24(get_array_function_like_doc)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
        1    0.000    0.000    0.000    0.000 array.py:287(SparseArray)
        1    0.000    0.000    0.000    0.000 datetimes.py:168(DatetimeArray)
       18    0.000    0.000    0.000    0.000 arrayprint.py:564(wrapper)
       48    0.000    0.000    0.000    0.000 _internal.py:893(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 _trifinder.py:1(<module>)
      911    0.000    0.000    0.000    0.000 inspect.py:2800(default)
        1    0.000    0.000    0.000    0.000 accessor.py:49(PandasDelegate)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1441(__init__)
       22    0.000    0.000    0.000    0.000 <frozen ntpath>:51(normcase)
        1    0.000    0.000    0.000    0.000 boolean.py:1(<module>)
        6    0.000    0.000    0.000    0.000 locale.py:347(_replace_encoding)
      133    0.000    0.000    0.000    0.000 core.py:1785(set_whitespace_chars)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.000    0.000 transforms.py:2103(IdentityTransform)
       85    0.000    0.000    0.000    0.000 dataclasses.py:857(_set_qualname)
        8    0.000    0.000    0.000    0.000 resolver.py:25(add_implicit_resolver)
      146    0.000    0.000    0.000    0.000 numerictypes.py:293(issubclass_)
        6    0.000    0.000    0.000    0.000 core.py:5220(__init__)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2770(MaskedArray)
        8    0.000    0.000    0.000    0.000 deprecation.py:505(suppress_matplotlib_deprecation_warning)
       69    0.000    0.000    0.000    0.000 inspect.py:2164(_signature_is_functionlike)
      294    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      101    0.000    0.000    0.000    0.000 rcsetup.py:77(__call__)
        1    0.000    0.000    0.000    0.000 units.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _docstring.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dashboard.py:55(SessionAnalyzer)
        6    0.000    0.000    0.000    0.000 numeric.py:2739(extend_all)
      101    0.000    0.000    0.000    0.000 core.py:6161(_expanded)
       24    0.000    0.000    0.000    0.000 warnings.py:184(_add_filter)
        4    0.000    0.000    0.000    0.000 __init__.py:331(_compile_template)
        1    0.000    0.000    0.000    0.000 composer.py:1(<module>)
       50    0.000    0.000    0.000    0.000 config.py:780(config_prefix)
        1    0.000    0.000    0.000    0.000 argparse.py:1913(parse_known_args)
       61    0.000    0.000    0.000    0.000 dataclasses.py:489(_field_init)
        1    0.000    0.000    0.000    0.000 _globals.py:66(_CopyMode)
      229    0.000    0.000    0.000    0.000 transforms.py:1335(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       18    0.000    0.000    0.000    0.000 dataclasses.py:428(_fields_in_init_order)
        3    0.000    0.000    0.000    0.000 enum.py:1413(_missing_)
        7    0.000    0.000    0.000    0.000 pathlib.py:420(_from_parsed_parts)
       43    0.000    0.000    0.000    0.000 getlimits.py:698(__init__)
        1    0.000    0.000    0.000    0.000 pydoc.py:494(Doc)
        1    0.000    0.000    0.000    0.000 rules.py:1(<module>)
        6    0.000    0.000    0.000    0.000 fromnumeric.py:51(_wrapfunc)
       29    0.000    0.000    0.000    0.000 cbook.py:1347(_to_unmasked_float_array)
       52    0.000    0.000    0.000    0.000 rcsetup.py:382(validate_fontsize)
        1    0.000    0.000    0.000    0.000 string_.py:543(StringArray)
        2    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 core.py:4667(ParseElementEnhance)
        1    0.000    0.000    0.000    0.000 __init__.py:34(SetupEnvironment)
       29    0.000    0.000    0.000    0.000 rcsetup.py:474(_validate_linestyle)
        3    0.000    0.000    0.000    0.000 six.py:887(wrapper)
        1    0.000    0.000    0.000    0.000 patches.py:2745(ConnectionStyle)
        1    0.000    0.000    0.000    0.000 dataframe_protocol.py:25(DlpackDeviceType)
       33    0.000    0.000    0.000    0.000 results.py:224(__setitem__)
        1    0.000    0.000    0.000    0.000 argparse.py:1916(_parse_known_args2)
       91    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
      608    0.000    0.000    0.000    0.000 typing.py:2187(cast)
        1    0.000    0.000    0.000    0.000 container.py:1(<module>)
       22    0.000    0.000    0.000    0.000 core.py:1030(reset_cache)
       42    0.000    0.000    0.000    0.000 getlimits.py:26(_fr1)
        1    0.000    0.000    0.000    0.000 pytables.py:3363(Table)
        1    0.000    0.000    0.000    0.000 backend_managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:671(Misc)
      170    0.000    0.000    0.000    0.000 textwrap.py:479(predicate)
        1    0.000    0.000    0.000    0.000 deprecation.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _decorators.py:492(indent)
        1    0.000    0.000    0.000    0.000 core.py:125(Diagnostics)
        1    0.000    0.000    0.000    0.000 _table_schema.py:1(<module>)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3552(export)
        1    0.000    0.000    0.000    0.000 dialog.py:1(<module>)
       19    0.000    0.000    0.000    0.000 path.py:202(_update_values)
        9    0.000    0.000    0.000    0.000 _compiler.py:396(_bytes_to_codes)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
      220    0.000    0.000    0.000    0.000 typing.py:1634(__eq__)
        1    0.000    0.000    0.000    0.000 compressors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        6    0.000    0.000    0.000    0.000 categorical.py:122(_cat_compare_op)
        1    0.000    0.000    0.000    0.000 blocks.py:183(Block)
        1    0.000    0.000    0.000    0.000 serializer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 path.py:24(Path)
